"n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj",,
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Rennes,Allée d'Ukraine"," 35200 Rennes,35238,-1.684341,48.081796,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Mulhouse,26 Route départementale 201"," 68390 Sausheim,68300,7.388082,47.781956,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Rungis,1 Rue du pont des halles"," 94150 Rungis,94065,2.351061,48.754477,6,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Lille - Lesquin,55 route de Douai"," 59810 Lille,59343,3.089573,50.584316,16,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Bordeaux - Merignac,80 Avenue J. F. Kennedy"," 33700 Merignac,33281,-0.68083,44.834142,10,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Valence,217 Avenue de Provence"," 26000 Valence,26362,4.878134,44.919018,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Beaune,7 Avenue Charles de Gaulle"," 21200 Beaune,21170,4.849253,47.0075,12,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Aix-en-Provence,Avenue Arc de Meyran"," 13100 Aix-en-Provence,13012,5.456493,43.510682,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Nantes - La Chapelle-sur-Erdre,34 rue de la Vrière"," 44240 La Chapelle-sur-Erdre,44201,-1.550287,47.282635,8,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
"Tesla,Tesla,Tesla Supercharger,Tesla Supercharger Chambéry - Barberaz,61 rue de la République Barberaz","  France 73000,73160,5.949646,45.56085,4,120,T2 (spécifique Tesla),Tesla,24/7,Compatible uniquement avec les véhicules Tesla (hors Roadster),20181130",
